sku_id,ds,y,is_promotion,change_flag,date,price,price_change_flag,price_change_amount,price_change_ratio,price_change_direction,price_change_type,weekday,is_weekend,is_month_start,is_month_end,price_change_freq_3d,price_change_amount_3d,price_change_ratio_3d,price_change_freq_7d,price_change_amount_7d,price_change_ratio_7d,price_change_freq_14d,price_change_amount_14d,price_change_ratio_14d,price_change_freq_30d,price_change_amount_30d,price_change_ratio_30d,price_range,price_stability,price_change_frequency,price_range_weekend,price_direction_weekend,price_type_weekend
195849,2025-04-29,27.0,0,0,2025-04-29,27.0,0,0.0,0.0,0,no_change,1,0,0,1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,low,0.0,0.125,low_0,0_0,no_change_0
195849,2025-04-30,27.0,0,0,2025-04-30,27.0,0,0.0,0.0,0,no_change,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,low,0.0,0.125,low_0,0_0,no_change_0
195943,2025-04-23,22.0,0,0,2025-04-23,22.0,0,0.0,0.0,0,no_change,2,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,low,0.0,0.625,low_0,0_0,no_change_0
195943,2025-04-24,20.9,0,1,2025-04-24,20.9,1,-1.1000000000000014,-0.050000000000000044,-1,decrease,3,0,0,0,0.6666666666666666,-0.5500000000000007,-0.025000000000000022,0.6666666666666666,-0.5500000000000007,-0.025000000000000022,0.6666666666666666,-0.5500000000000007,-0.025000000000000022,0.6666666666666666,-0.5500000000000007,-0.025000000000000022,very_low,0.6350852961085892,0.625,very_low_0,-1_0,decrease_0
195943,2025-04-25,20.9,0,0,2025-04-25,20.9,0,0.0,0.0,0,no_change,4,0,0,0,0.3333333333333333,-0.36666666666666714,-0.01666666666666668,0.5,-0.36666666666666714,-0.01666666666666668,0.5,-0.36666666666666714,-0.01666666666666668,0.5,-0.36666666666666714,-0.01666666666666668,very_low,0.6350852961085892,0.625,very_low_0,0_0,no_change_0
195943,2025-04-26,20.9,0,0,2025-04-26,20.9,0,0.0,0.0,0,no_change,5,1,0,0,0.3333333333333333,-0.36666666666666714,-0.01666666666666668,0.4,-0.27500000000000036,-0.012500000000000011,0.4,-0.27500000000000036,-0.012500000000000011,0.4,-0.27500000000000036,-0.012500000000000011,very_low,0.6024948132556835,0.625,very_low_1,0_1,no_change_1
195943,2025-04-27,22.0,1,1,2025-04-27,22.0,1,1.1000000000000014,0.052631578947368585,1,increase,6,1,0,0,0.3333333333333333,0.36666666666666714,0.01754385964912286,0.5,0.0,0.000526315789473708,0.5,0.0,0.000526315789473708,0.5,0.0,0.000526315789473708,low,0.6024948132556835,0.625,low_1,1_1,increase_1
195943,2025-04-29,19.0,0,1,2025-04-29,19.0,1,-3.0,-0.13636363636363635,-1,decrease,1,0,0,1,0.6666666666666666,-0.6333333333333329,-0.02791068580542259,0.5714285714285714,-0.5,-0.022288676236044636,0.5714285714285714,-0.5,-0.022288676236044636,0.5714285714285714,-0.5,-0.022288676236044636,very_low,1.0770329614269007,0.625,very_low_0,-1_0,decrease_0
195943,2025-04-30,22.0,0,1,2025-04-30,22.0,1,3.0,0.1578947368421053,1,increase,2,0,0,1,1.0,0.36666666666666714,0.024720893141945848,0.5714285714285714,0.0,0.0034518113465482137,0.625,0.0,0.0034518113465482137,0.625,0.0,0.0034518113465482137,low,1.046678419709566,0.625,low_0,1_0,increase_0
206942,2025-04-22,13.8,0,1,2025-04-22,13.8,1,0.10000000000000142,0.007299270072992803,1,increase,1,0,0,0,1.0,0.10000000000000142,0.007299270072992803,1.0,0.10000000000000142,0.007299270072992803,1.0,0.10000000000000142,0.007299270072992803,1.0,0.10000000000000142,0.007299270072992803,very_low,0.07071067811865576,0.2222222222222222,very_low_0,1_0,increase_0
206942,2025-04-23,13.8,0,0,2025-04-23,13.8,0,0.0,0.0,0,no_change,2,0,0,0,0.6666666666666666,0.05000000000000071,0.0036496350364964014,0.6666666666666666,0.05000000000000071,0.0036496350364964014,0.6666666666666666,0.05000000000000071,0.0036496350364964014,0.6666666666666666,0.05000000000000071,0.0036496350364964014,very_low,0.05773502691896327,0.2222222222222222,very_low_0,0_0,no_change_0
206942,2025-04-24,13.8,0,0,2025-04-24,13.8,0,0.0,0.0,0,no_change,3,0,0,0,0.3333333333333333,0.033333333333333805,0.002433090024330934,0.5,0.033333333333333805,0.002433090024330934,0.5,0.033333333333333805,0.002433090024330934,0.5,0.033333333333333805,0.002433090024330934,very_low,0.050000000000000565,0.2222222222222222,very_low_0,0_0,no_change_0
206942,2025-04-25,13.8,1,0,2025-04-25,13.8,0,0.0,0.0,0,no_change,4,0,0,0,0.0,0.0,0.0,0.4,0.025000000000000355,0.0018248175182482007,0.4,0.025000000000000355,0.0018248175182482007,0.4,0.025000000000000355,0.0018248175182482007,very_low,0.04472135954999625,0.2222222222222222,very_low_0,0_0,no_change_0
206942,2025-04-26,13.8,0,0,2025-04-26,13.8,0,0.0,0.0,0,no_change,5,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.020000000000000285,0.0014598540145985607,0.3333333333333333,0.020000000000000285,0.0014598540145985607,0.3333333333333333,0.020000000000000285,0.0014598540145985607,very_low,0.04082482904638664,0.2222222222222222,very_low_1,0_1,no_change_1
206942,2025-04-27,13.8,0,0,2025-04-27,13.8,0,0.0,0.0,0,no_change,6,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.016666666666666902,0.001216545012165467,0.2857142857142857,0.016666666666666902,0.001216545012165467,0.2857142857142857,0.016666666666666902,0.001216545012165467,very_low,0.03779644730092299,0.2222222222222222,very_low_1,0_1,no_change_1
206942,2025-04-29,13.8,1,0,2025-04-29,13.8,0,0.0,0.0,0,no_change,1,0,0,1,0.0,0.0,0.0,0.14285714285714285,0.014285714285714488,0.0010427528675704004,0.25,0.014285714285714488,0.0010427528675704004,0.25,0.014285714285714488,0.0010427528675704004,very_low,0.035355339059327605,0.2222222222222222,very_low_0,0_0,no_change_0
206942,2025-04-30,13.8,0,0,2025-04-30,13.8,0,0.0,0.0,0,no_change,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.012500000000000178,0.0009124087591241004,0.2222222222222222,0.012500000000000178,0.0009124087591241004,very_low,0.033333333333333534,0.2222222222222222,very_low_0,0_0,no_change_0
262009,2025-04-22,34.9,0,0,2025-04-22,34.9,0,0.0,0.0,0,no_change,1,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
262009,2025-04-23,34.9,0,0,2025-04-23,34.9,0,0.0,0.0,0,no_change,2,0,0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
262009,2025-04-24,34.9,0,0,2025-04-24,34.9,0,0.0,0.0,0,no_change,3,0,0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
262009,2025-04-25,34.9,1,0,2025-04-25,34.9,0,0.0,0.0,0,no_change,4,0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
262009,2025-04-26,34.9,0,0,2025-04-26,34.9,0,0.0,0.0,0,no_change,5,1,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,medium,0.0,0.1111111111111111,medium_1,0_1,no_change_1
262009,2025-04-27,34.9,0,0,2025-04-27,34.9,0,0.0,0.0,0,no_change,6,1,0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,medium,0.0,0.1111111111111111,medium_1,0_1,no_change_1
262009,2025-04-29,34.9,1,0,2025-04-29,34.9,0,0.0,0.0,0,no_change,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
262009,2025-04-30,34.9,0,0,2025-04-30,34.9,0,0.0,0.0,0,no_change,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,medium,0.0,0.1111111111111111,medium_0,0_0,no_change_0
269387,2025-04-23,29.5,0,0,2025-04-23,29.5,0,0.0,0.0,0,no_change,2,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,low,0.0,0.25,low_0,0_0,no_change_0
269387,2025-04-24,29.5,0,0,2025-04-24,29.5,0,0.0,0.0,0,no_change,3,0,0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,low,0.0,0.25,low_0,0_0,no_change_0
269387,2025-04-25,29.5,0,0,2025-04-25,29.5,0,0.0,0.0,0,no_change,4,0,0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,low,0.0,0.25,low_0,0_0,no_change_0
269387,2025-04-26,29.5,0,0,2025-04-26,29.5,0,0.0,0.0,0,no_change,5,1,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,low,0.0,0.25,low_1,0_1,no_change_1
269387,2025-04-27,29.5,1,0,2025-04-27,29.5,0,0.0,0.0,0,no_change,6,1,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,low,0.0,0.25,low_1,0_1,no_change_1
269387,2025-04-29,29.5,0,0,2025-04-29,29.5,0,0.0,0.0,0,no_change,1,0,0,1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,low,0.0,0.25,low_0,0_0,no_change_0
269387,2025-04-30,24.5,0,1,2025-04-30,24.5,1,-5.0,-0.1694915254237288,-1,decrease,2,0,0,1,0.3333333333333333,-1.6666666666666667,-0.05649717514124294,0.14285714285714285,-0.7142857142857143,-0.024213075060532687,0.25,-0.7142857142857143,-0.024213075060532687,0.25,-0.7142857142857143,-0.024213075060532687,low,1.7677669529663689,0.25,low_0,-1_0,decrease_0
274659,2025-04-23,19.9,0,0,2025-04-23,19.9,0,0.0,0.0,0,no_change,2,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,very_low,0.0,0.125,very_low_0,0_0,no_change_0
274659,2025-04-24,19.9,0,0,2025-04-24,19.9,0,0.0,0.0,0,no_change,3,0,0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,very_low,0.0,0.125,very_low_0,0_0,no_change_0
274659,2025-04-25,19.9,0,0,2025-04-25,19.9,0,0.0,0.0,0,no_change,4,0,0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,very_low,0.0,0.125,very_low_0,0_0,no_change_0
274659,2025-04-26,19.9,0,0,2025-04-26,19.9,0,0.0,0.0,0,no_change,5,1,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,very_low,0.0,0.125,very_low_1,0_1,no_change_1
274659,2025-04-27,19.9,1,0,2025-04-27,19.9,0,0.0,0.0,0,no_change,6,1,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,very_low,0.0,0.125,very_low_1,0_1,no_change_1
274659,2025-04-29,19.9,0,0,2025-04-29,19.9,0,0.0,0.0,0,no_change,1,0,0,1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,very_low,0.0,0.125,very_low_0,0_0,no_change_0
274659,2025-04-30,19.9,0,0,2025-04-30,19.9,0,0.0,0.0,0,no_change,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,very_low,0.0,0.125,very_low_0,0_0,no_change_0
276056,2025-04-22,19.8,0,0,2025-04-22,19.8,0,0.0,0.0,0,no_change,1,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,very_low,0.0,0.3333333333333333,very_low_0,0_0,no_change_0
276056,2025-04-23,21.9,0,1,2025-04-23,21.9,1,2.099999999999998,0.10606060606060597,1,increase,2,0,0,0,0.6666666666666666,1.049999999999999,0.05303030303030298,0.6666666666666666,1.049999999999999,0.05303030303030298,0.6666666666666666,1.049999999999999,0.05303030303030298,0.6666666666666666,1.049999999999999,0.05303030303030298,low,1.2124355652982128,0.3333333333333333,low_0,1_0,increase_0
276056,2025-04-24,21.9,0,0,2025-04-24,21.9,0,0.0,0.0,0,no_change,3,0,0,0,0.3333333333333333,0.6999999999999993,0.035353535353535324,0.5,0.6999999999999993,0.035353535353535324,0.5,0.6999999999999993,0.035353535353535324,0.5,0.6999999999999993,0.035353535353535324,low,1.2124355652982126,0.3333333333333333,low_0,0_0,no_change_0
276056,2025-04-25,21.9,1,0,2025-04-25,21.9,0,0.0,0.0,0,no_change,4,0,0,0,0.3333333333333333,0.6999999999999993,0.035353535353535324,0.4,0.5249999999999995,0.02651515151515149,0.4,0.5249999999999995,0.02651515151515149,0.4,0.5249999999999995,0.02651515151515149,low,1.150217370760847,0.3333333333333333,low_0,0_0,no_change_0
276056,2025-04-26,21.9,0,0,2025-04-26,21.9,0,0.0,0.0,0,no_change,5,1,0,0,0.0,0.0,0.0,0.3333333333333333,0.4199999999999996,0.021212121212121193,0.3333333333333333,0.4199999999999996,0.021212121212121193,0.3333333333333333,0.4199999999999996,0.021212121212121193,low,1.0844353369380746,0.3333333333333333,low_1,0_1,no_change_1
276056,2025-04-27,21.9,0,0,2025-04-27,21.9,0,0.0,0.0,0,no_change,6,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.34999999999999964,0.017676767676767662,0.2857142857142857,0.34999999999999964,0.017676767676767662,0.2857142857142857,0.34999999999999964,0.017676767676767662,low,1.0246950765959575,0.3333333333333333,low_1,0_1,no_change_1
